code, nom,latitude,longitude,commune
010010000,"L'Abergement-Clémenciat",0,0,01001
010020000,"L'Abergement-de-Varey",0,0,01002
010040101,"Les Perouses-Triangle d'Activite",0,0,01004
010040102,"Longeray-Gare",0,0,01004
010040201,"Centre-St Germain-Vareilles",0,0,01004
010040202,"Tiret-Les Allymes",0,0,01004
010050000,"Ambérieux-en-Dombes",0,0,01005
010060000,"Ambléon",0,0,01006
010070000,"Ambronay",0,0,01007
010080000,"Ambutrix",0,0,01008
010090000,"Andert-et-Condon",0,0,01009
010100000,"Anglefort",0,0,01010
010110000,"Apremont",0,0,01011
010120000,"Aranc",0,0,01012
010130000,"Arandas",0,0,01013
010140000,"Arbent",0,0,01014
010150000,"Arbignieu",0,0,01015
010160000,"Arbigny",0,0,01016
010170000,"Argis",0,0,01017
010190000,"Armix",0,0,01019
010210000,"Ars-sur-Formans",0,0,01021
010220000,"Artemare",0,0,01022
010230000,"Asnières-sur-Saône",0,0,01023
010240000,"Attignat",0,0,01024
010250000,"Bâgé-la-Ville",0,0,01025
010260000,"Bâgé-le-Châtel",0,0,01026
010270000,"Balan",0,0,01027
010280000,"Baneins",0,0,01028
010290000,"Beaupont",0,0,01029
010300000,"Beauregard",0,0,01030
010310000,"Bellignat",0,0,01031
010320000,"Béligneux",0,0,01032
010330101,"Coupy-Vanchy",0,0,01033
010330102,"CENTRE VILLE",0,0,01033
010330201,"Arc Vouvray-Gare-Chatillon",0,0,01033
010330202,"Plateau de Musinens",0,0,01033
010330301,"Arlod",0,0,01033
010340101,"Ouest",0,0,01034
010340102,"Centre et Est",0,0,01034
010340103,"Sud Ouest",0,0,01034
010350000,"Belleydoux",0,0,01035
010360000,"Belmont-Luthézieu",0,0,01036
010370000,"Bénonces",0,0,01037
010380000,"Bény",0,0,01038
010390000,"Béon",0,0,01039
010400000,"Béréziat",0,0,01040
010410000,"Bettant",0,0,01041
010420000,"Bey",0,0,01042
010430000,"Beynost",0,0,01043
010440000,"Billiat",0,0,01044
010450000,"Birieux",0,0,01045
010460000,"Biziat",0,0,01046
010470000,"Blyes",0,0,01047
010490000,"La Boisse",0,0,01049
010500000,"Boissey",0,0,01050
010510000,"Bolozon",0,0,01051
010520000,"Bouligneux",0,0,01052
010530101,"Centre-Ville",0,0,01053
010530102,"Champ-de-Foire",0,0,01053
010530103,"Prefecture",0,0,01053
010530201,"Citadelle",0,0,01053
010530202,"Mail",0,0,01053
010530203,"Peloux",0,0,01053
010530301,"Gare",0,0,01053
010530302,"Brou",0,0,01053
010530401,"Vennes-Ouest",0,0,01053
010530402,"Vennes-Est",0,0,01053
010530501,"Baudieres",0,0,01053
010530502,"Sardieres",0,0,01053
010530503,"Croix-Blanche",0,0,01053
010530601,"Pont-des-Chevres",0,0,01053
010530602,"Reyssouze-Ouest",0,0,01053
010530603,"Reyssouze-Est",0,0,01053
010530604,"Cenord-Grand-Challes",0,0,01053
010530701,"Granges-Bardes-Alagnier",0,0,01053
010540000,"Bourg-Saint-Christophe",0,0,01054
010560000,"Boyeux-Saint-Jérôme",0,0,01056
010570000,"Boz",0,0,01057
010580000,"Brégnier-Cordon",0,0,01058
010590000,"Brénaz",0,0,01059
010600000,"Brénod",0,0,01060
010610000,"Brens",0,0,01061
010620000,"Bressolles",0,0,01062
010630000,"Brion",0,0,01063
010640000,"Briord",0,0,01064
010650000,"Buellas",0,0,01065
010660000,"La Burbanche",0,0,01066
010670000,"Ceignes",0,0,01067
010680000,"Cerdon",0,0,01068
010690000,"Certines",0,0,01069
010710000,"Cessy",0,0,01071
010720000,"Ceyzériat",0,0,01072
010730000,"Ceyzérieu",0,0,01073
010740000,"Chalamont",0,0,01074
010750000,"Chaleins",0,0,01075
010760000,"Chaley",0,0,01076
010770000,"Challes-la-Montagne",0,0,01077
010780000,"Challex",0,0,01078
010790000,"Champagne-en-Valromey",0,0,01079
010800000,"Champdor",0,0,01080
010810000,"Champfromier",0,0,01081
010820000,"Chanay",0,0,01082
010830000,"Chaneins",0,0,01083
010840000,"Chanoz-Châtenay",0,0,01084
010850000,"La Chapelle-du-Châtelard",0,0,01085
010870000,"Charix",0,0,01087
010880000,"Charnoz-sur-Ain",0,0,01088
010890000,"Château-Gaillard",0,0,01089
010900000,"Châtenay",0,0,01090
010910000,"Châtillon-en-Michaille",0,0,01091
010920000,"Châtillon-la-Palud",0,0,01092
010930000,"Châtillon-sur-Chalaronne",0,0,01093
010940000,"Chavannes-sur-Reyssouze",0,0,01094
010950000,"Chavannes-sur-Suran",0,0,01095
010960000,"Chaveyriat",0,0,01096
010970000,"Chavornay",0,0,01097
010980000,"Chazey-Bons",0,0,01098
010990000,"Chazey-sur-Ain",0,0,01099
011000000,"Cheignieu-la-Balme",0,0,01100
011010000,"Chevillard",0,0,01101
011020000,"Chevroux",0,0,01102
011030000,"Chevry",0,0,01103
011040000,"Chézery-Forens",0,0,01104
011050000,"Civrieux",0,0,01105
011060000,"Cize",0,0,01106
011070000,"Cleyzieu",0,0,01107
011080000,"Coligny",0,0,01108
011090000,"Collonges",0,0,01109
011100000,"Colomieu",0,0,01110
011110000,"Conand",0,0,01111
011120000,"Condamine",0,0,01112
011130000,"Condeissiat",0,0,01113
011140000,"Confort",0,0,01114
011150000,"Confrançon",0,0,01115
011160000,"Contrevoz",0,0,01116
011170000,"Conzieu",0,0,01117
011180000,"Corbonod",0,0,01118
011190000,"Corcelles",0,0,01119
011210000,"Corlier",0,0,01121
011220000,"Cormaranche-en-Bugey",0,0,01122
